angular artistic attention-grabbing attractive bad boring calm capitals charming clumsy complex cursive delicate disorderly display dramatic formal fresh friendly gentle graceful happy italic legible modern monospace playful pretentious serif sharp sloppy soft strong technical thin warm wide
replacement/00.png 81 56 52 78 58 59 92 60 73 93 80 96 73 43 14 97 35 85 80 25 91 54 54 4 71 11 92 21 52 66 55 73 27 21 67 34 14
replacement/01.png 81 56 52 78 58 59 92 60 73 93 80 96 73 43 14 97 35 85 80 25 91 54 54 4 71 11 92 21 52 66 55 73 27 21 67 34 14
replacement/02.png 81 56 52 78 58 59 92 60 73 93 80 96 73 43 14 97 35 85 80 25 91 54 54 4 71 11 92 21 52 66 55 73 27 21 67 34 14
replacement/03.png 81 56 52 78 58 59 92 60 73 93 80 96 73 43 14 97 35 85 80 25 91 54 54 4 71 11 92 21 52 66 55 73 27 21 67 34 14
replacement/04.png 81 56 52 78 58 59 92 60 73 93 80 96 73 43 14 97 35 85 80 25 91 54 54 4 71 11 92 21 52 66 55 73 27 21 67 34 14
replacement/05.png 81 56 52 78 58 59 92 60 73 93 80 96 73 43 14 97 35 85 80 25 91 54 54 4 71 11 92 21 52 66 55 73 27 21 67 34 14
replacement/06.png 81 56 52 78 58 59 92 60 73 93 80 96 73 43 14 97 35 85 80 25 91 54 54 4 71 11 92 21 52 66 55 73 27 21 67 34 14
replacement/07.png 81 56 52 78 58 59 92 60 73 93 80 96 73 43 14 97 35 85 80 25 91 54 54 4 71 11 92 21 52 66 55 73 27 21 67 34 14
replacement/08.png 81 56 52 78 58 59 92 60 73 93 80 96 73 43 14 97 35 85 80 25 91 54 54 4 71 11 92 21 52 66 55 73 27 21 67 34 14
replacement/09.png 81 56 52 78 58 59 92 60 73 93 80 96 73 43 14 97 35 85 80 25 91 54 54 4 71 11 92 21 52 66 55 73 27 21 67 34 14
replacement/10.png 81 56 52 78 58 59 92 60 73 93 80 96 73 43 14 97 35 85 80 25 91 54 54 4 71 11 92 21 52 66 55 73 27 21 67 34 14
replacement/11.png 81 56 52 78 58 59 92 60 73 93 80 96 73 43 14 97 35 85 80 25 91 54 54 4 71 11 92 21 52 66 55 73 27 21 67 34 14
